Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
NAVI,Navient Cp,11.58,0.35,3.12%,11.3,11.58,10.92,3995500,03/02/2020
NBIX,Neurocrine Bioscienc,96.31,1.61,1.70%,94.16,96.55,93.02,775000,03/02/2020
NBL,Noble Energy Inc,15.8,-0.03,-0.19%,16.1,16.1,15.25,7943700,03/02/2020
NCLH,Norwegian Cruise Ord,35.59,-1.67,-4.48%,37.1,37.1,33.98,7318800,03/02/2020
NCR,NCR Corp,25.98,0.78,3.10%,25.58,26.07,24.32,1609700,03/02/2020
NDAQ,Nasdaq Inc,110.12,7.57,7.38%,103,110.35,103,1264000,03/02/2020
NDSN,Nordson Corp,147.91,2.61,1.80%,146.46,148.34,143.53,513400,03/02/2020
NEE,Nextera Energy,268.35,15.59,6.17%,253.65,268.9,252.33,4826700,03/02/2020
NEM,Newmont Mining Corp,46.83,2.2,4.93%,45.65,46.91,45.39,12708700,03/02/2020
NEU,Newmarket Corp,399.94,11.35,2.92%,389.7,403.12,389.7,58300,03/02/2020
NEWR,New Relic Inc,54.92,-1.34,-2.38%,56.44,56.44,53.33,1135400,03/02/2020
NFG,National Fuel Gas Company,38.46,1.85,5.05%,37.03,38.66,36.56,917900,03/02/2020
NFLX,Netflix Inc,381.05,12.02,3.26%,373.11,381.36,364.5,6997900,03/02/2020
NI,NiSource Inc,28.56,1.54,5.70%,27.02,28.56,26.89,7194500,03/02/2020
NKE,Nike Inc,92.68,3.3,3.69%,89.59,93.14,87.91,14102001,03/02/2020
NKTR,Nektar Therapeutics,20.1,-0.71,-3.41%,20.83,20.95,19.63,2436600,03/02/2020
NLOK,Nortonlifelock Inc.,19.93,0.9,4.73%,19.04,19.95,18.88,9903300,03/02/2020
NLSN,Nielsen Holdings Plc,18.12,-0.09,-0.49%,18.33,18.33,17.68,7647000,03/02/2020
NLY,Annaly Capital Management Inc,9.44,0.58,6.55%,9,9.47,8.96,27051500,03/02/2020
NNN,National Retail Properties,52.4,1.55,3.05%,51.16,52.45,50.15,1148400,03/02/2020
NOC,Northrop Grumman Corp,335.99,7.15,2.17%,330.46,336.93,321.86,1547000,03/02/2020
NOV,National-Oilwell,19.82,1.11,5.93%,19.03,19.82,18.41,5318900,03/02/2020
NOW,Servicenow Inc,344.4,18.31,5.62%,333.83,344.48,326.32,2699900,03/02/2020
NRG,NRG Energy,34.17,0.96,2.89%,33.31,34.19,32.86,3885100,03/02/2020
NRZ,New Residential Investment Corp,16.54,0.98,6.30%,15.68,16.54,15.68,7946100,03/02/2020
NSC,Norfolk Southern Corp,182.59,0.24,0.13%,183.74,184.62,177.49,2540500,03/02/2020
NTAP,Netapp Inc,47.57,0.85,1.82%,47.04,47.62,45.81,3145700,03/02/2020
